,emp_title,experience_years,state,homeownership,annual_income,verified_income,debt_to_income,delinq_2y,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,total_collection_amount_ever,num_open_cc_accounts,num_cc_carrying_balance,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,has_delinquency,has_balance,has_tax_lien
32,teacher,9.0,AR,MORTGAGE,50000.0,Verified,36.75,1,1982,0,31,20,246210,51523,0,0,17,10,0,0,credit_card,joint,19000,60,19.03,493.19,D,D3,Feb-2018,Current,whole,Cash,18214.02,Has Delinquencies,True,0
33,controller,3.0,SC,MORTGAGE,80000.0,Source Verified,28.3,0,2004,0,27,14,250359,113927,0,0,11,6,0,0,debt_consolidation,individual,28000,60,20.39,747.92,D,D4,Mar-2018,Current,whole,Cash,27169.59,No Delinquencies,True,0
34,deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,0,1993,2,21,12,631258,69647,0,0,9,3,0,0,debt_consolidation,individual,15000,60,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0.0,No Delinquencies,True,0
35,armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,0,2004,0,13,3,30400,92,0,0,3,1,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0.0,No Delinquencies,True,0
36,driver,2.0,MD,RENT,45000.0,Source Verified,10.59,0,2003,1,9,7,14500,13304,0,0,7,6,0,0,debt_consolidation,individual,10000,36,21.45,379.07,D,D5,Jan-2018,Current,fractional,Cash,8961.95,No Delinquencies,True,0
37,supplies clerk,10.0,NJ,MORTGAGE,70000.0,Verified,17.06,0,1988,2,21,14,363649,29954,0,0,10,7,0,0,car,joint,24000,60,15.04,571.47,C,C4,Mar-2018,In Grace Period,whole,Cash,23455.27,No Delinquencies,True,0
38,loan consultant ,2.0,PA,RENT,75000.0,Not Verified,18.53,0,2006,2,12,6,55075,34186,0,0,4,2,0,0,other,individual,9500,36,10.42,308.42,B,B3,Jan-2018,Current,whole,Cash,8350.57,No Delinquencies,True,0
39,bank coordinator,2.0,CA,RENT,53592.0,Source Verified,7.1,0,2009,0,6,4,42499,10466,2,3943,3,2,0,0,other,individual,30000,36,12.61,1005.2,C,C1,Feb-2018,Current,whole,Cash,27196.39,No Delinquencies,True,0
40,manager,6.0,MI,MORTGAGE,19000.0,Not Verified,24.79,0,2004,0,12,6,23234,12435,0,154,5,4,0,1,other,joint,10000,60,18.06,254.27,D,D2,Jan-2018,Current,whole,Cash,9465.3,No Delinquencies,True,0
42,reader advisor,10.0,VA,RENT,77000.0,Source Verified,14.82,0,1977,0,29,14,74852,44015,0,0,11,6,0,0,debt_consolidation,individual,35000,60,15.05,833.57,C,C4,Jan-2018,Current,whole,Cash,33391.61,No Delinquencies,True,0
43,truck driver,2.0,TX,RENT,42000.0,Source Verified,25.89,0,2004,1,11,6,43239,31094,0,0,3,3,0,0,credit_card,individual,10000,36,15.05,346.9,C,C4,Feb-2018,Current,whole,Cash,9097.26,No Delinquencies,True,0
44,sales,4.0,TX,MORTGAGE,130000.0,Source Verified,13.51,0,1991,2,15,11,403408,49857,0,667,6,4,0,0,home_improvement,individual,40000,60,12.62,902.37,C,C1,Feb-2018,Current,whole,Cash,38042.58,No Delinquencies,True,0
45,director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,0,1980,4,30,12,185068,26515,0,0,9,4,0,1,debt_consolidation,individual,15000,36,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13092.56,No Delinquencies,True,0
46,rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,0,2004,0,17,9,175300,18870,0,0,8,5,0,0,debt_consolidation,individual,20000,36,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18991.05,No Delinquencies,True,0
47,police recruit,0.0,TX,RENT,41000.0,Verified,25.7,0,2008,0,23,7,29311,13527,0,0,5,5,0,0,debt_consolidation,individual,4500,36,15.05,156.11,C,C4,Feb-2018,Current,whole,Cash,4093.75,No Delinquencies,True,0
48,lead teller,2.0,NE,RENT,30000.0,Not Verified,3.64,0,2012,0,9,7,18000,5542,0,0,7,3,0,0,car,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,No Delinquencies,True,0
51,sr admin assistant,10.0,TX,RENT,95731.0,Not Verified,19.64,0,2002,1,37,15,86768,53109,0,0,13,4,0,0,debt_consolidation,individual,20600,60,30.79,676.52,G,G1,Jan-2018,Current,whole,Cash,19821.53,No Delinquencies,True,0
52,president,2.0,CA,RENT,127000.0,Source Verified,9.12,1,2013,0,11,9,74518,34313,0,0,8,4,0,0,major_purchase,individual,35000,60,15.05,833.57,C,C4,Feb-2018,Current,whole,Cash,33396.01,Has Delinquencies,True,0
53,hvac technician,10.0,GA,MORTGAGE,75000.0,Source Verified,22.91,0,1993,0,27,8,224758,63799,0,0,3,1,0,0,debt_consolidation,joint,10000,36,6.07,304.54,A,A2,Mar-2018,Current,whole,Cash,9234.27,No Delinquencies,True,0
54,nurse assistant,5.0,NC,MORTGAGE,70000.0,Not Verified,21.41,0,2008,1,21,6,279995,52244,0,0,3,2,0,0,debt_consolidation,individual,12000,36,6.07,365.45,A,A2,Mar-2018,Current,whole,Cash,11081.12,No Delinquencies,True,0
55,manager,6.0,FL,OWN,22000.0,Source Verified,13.05,0,1984,0,6,3,130600,4277,0,0,2,2,0,0,debt_consolidation,joint,1925,36,17.47,69.09,D,D1,Mar-2018,Current,whole,Cash,1842.26,No Delinquencies,True,0
58,manager,6.0,NV,MORTGAGE,76000.0,Not Verified,14.62,0,2009,2,15,14,368543,24135,0,0,11,5,0,0,debt_consolidation,individual,6000,36,6.72,184.5,A,A3,Jan-2018,Current,whole,Cash,5391.31,No Delinquencies,True,0
61,service tech,10.0,MD,OWN,58000.0,Source Verified,12.58,0,2004,0,22,10,37300,14770,0,0,9,6,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,Current,whole,Cash,9275.14,No Delinquencies,True,0
62,senior technically writer,1.0,VA,RENT,105000.0,Not Verified,16.73,0,1990,0,6,6,63600,53168,0,0,5,4,0,0,debt_consolidation,individual,6000,36,9.93,193.41,B,B2,Feb-2018,Current,fractional,Cash,5417.78,No Delinquencies,True,0
63,rn,10.0,VA,MORTGAGE,114000.0,Verified,28.13,1,2001,1,28,17,451597,88594,0,0,10,8,0,0,credit_card,individual,20000,60,14.07,466.1,C,C3,Mar-2018,Current,whole,Cash,19297.02,Has Delinquencies,True,0
64,escrow manager,10.0,CA,MORTGAGE,150000.0,Source Verified,7.89,0,1992,1,22,8,96633,43253,0,0,6,4,0,0,medical,individual,15000,36,7.97,469.84,A,A5,Feb-2018,Current,whole,Cash,13504.32,No Delinquencies,True,0
65,quality control,0.0,PA,MORTGAGE,69000.0,Not Verified,15.42,0,2003,0,37,8,291176,33890,0,0,5,3,0,0,debt_consolidation,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,fractional,Cash,18452.04,No Delinquencies,True,0
67,truck driver,5.0,IL,MORTGAGE,60000.0,Source Verified,17.28,0,2002,2,16,13,47882,36724,0,295,11,8,0,1,credit_card,individual,11400,60,14.08,265.74,C,C3,Jan-2018,Current,whole,Cash,10862.71,No Delinquencies,True,0
68,general manager,5.0,NH,MORTGAGE,74000.0,Not Verified,32.06,0,1999,0,15,9,384554,63783,0,0,5,5,0,0,car,individual,5500,36,12.61,184.29,C,C1,Mar-2018,Current,fractional,Cash,5116.52,No Delinquencies,True,0
69,bartender,0.0,UT,RENT,25000.0,Source Verified,3.7,1,1972,1,6,4,1900,807,0,0,4,3,0,0,debt_consolidation,individual,5000,36,12.62,167.56,C,C1,Jan-2018,Current,fractional,Cash,4412.9,Has Delinquencies,True,0
71,interpreter/translator/school enrolment ,0.0,MA,RENT,31000.0,Source Verified,16.26,0,2009,2,32,21,43430,14955,0,0,20,10,0,0,other,individual,15000,36,12.62,502.67,C,C1,Jan-2018,Current,fractional,Cash,13238.74,No Delinquencies,True,0
72,accounts receivable manager,3.0,NJ,RENT,64000.0,Source Verified,8.72,0,2010,0,5,5,49500,19719,0,0,4,2,0,0,debt_consolidation,individual,10000,36,6.71,307.45,A,A3,Mar-2018,Current,whole,Cash,9241.17,No Delinquencies,True,0
73,asst to the director of theatre,3.0,KY,RENT,24000.0,Source Verified,16.3,0,2011,1,11,11,54966,42068,0,0,2,1,0,0,major_purchase,individual,10450,60,19.42,273.5,D,D3,Mar-2018,Current,whole,Cash,9609.03,No Delinquencies,True,0
74,rn,2.0,NC,MORTGAGE,77000.0,Source Verified,16.04,0,2012,3,23,16,188426,59514,0,0,10,2,0,0,credit_card,individual,7200,36,12.62,241.29,C,C1,Feb-2018,Current,whole,Cash,6527.2,No Delinquencies,True,0
75,warehouse,10.0,FL,MORTGAGE,31000.0,Not Verified,28.42,0,2001,0,15,8,190216,24861,0,0,6,6,0,0,debt_consolidation,joint,35000,60,14.08,815.85,C,C3,Jan-2018,Current,whole,Cash,32925.97,No Delinquencies,True,0
76,manager,6.0,OR,RENT,13930.0,Verified,21.94,0,2010,1,11,6,13450,4212,0,0,5,4,0,0,debt_consolidation,individual,4200,36,10.91,137.33,B,B4,Jan-2018,Current,fractional,Cash,3695.17,No Delinquencies,True,0
77,operations manager,0.0,OH,RENT,60000.0,Verified,19.22,0,2007,3,23,14,69357,68594,0,0,4,4,0,0,other,individual,2400,36,17.47,86.13,D,D1,Feb-2018,Current,whole,Cash,2244.18,No Delinquencies,True,0
78,administrative assistant,9.0,TX,MORTGAGE,41787.0,Verified,37.74,0,1992,1,32,11,42639,36441,0,0,9,9,0,0,credit_card,individual,12800,36,18.06,463.14,D,D2,Jan-2018,Current,whole,Cash,11693.32,No Delinquencies,True,0
79,composite tehnician,4.0,CA,MORTGAGE,45000.0,Verified,15.44,0,2005,2,31,18,215675,13559,0,0,15,6,0,1,other,joint,8000,36,16.02,281.34,C,C5,Jan-2018,Current,fractional,Cash,7103.69,No Delinquencies,True,0
80,pta,0.0,OK,MORTGAGE,77000.0,Verified,18.39,0,2001,3,11,7,174300,31663,0,542,3,3,0,0,debt_consolidation,individual,30000,36,19.03,1100.14,D,D3,Feb-2018,Current,fractional,Cash,27442.4,No Delinquencies,True,0
82,it support,8.0,TX,MORTGAGE,165000.0,Source Verified,11.14,0,2000,2,24,8,103527,70510,0,0,6,4,0,0,other,individual,25000,36,6.07,761.35,A,A2,Feb-2018,Current,whole,Cash,22441.1,No Delinquencies,True,0
83,senior accounts payable clerk,10.0,FL,MORTGAGE,43000.0,Source Verified,1.56,0,1984,3,30,15,45100,860,0,0,15,3,0,0,home_improvement,individual,40000,60,9.43,838.71,B,B1,Mar-2018,Current,whole,Cash,37877.63,No Delinquencies,True,0
84,master driver,10.0,VA,MORTGAGE,90000.0,Verified,17.44,0,1999,1,32,10,524622,87687,0,0,7,3,0,0,debt_consolidation,individual,24000,60,10.42,514.91,B,B3,Jan-2018,Current,whole,Cash,22440.6,No Delinquencies,True,0
85,teacher,10.0,SD,OWN,95000.0,Not Verified,11.45,0,1975,2,40,10,73740,14461,0,0,9,8,0,1,debt_consolidation,individual,5000,36,7.96,156.59,A,A5,Mar-2018,Current,whole,Cash,4627.27,No Delinquencies,True,0
86,physician assistant,10.0,MO,MORTGAGE,152000.0,Not Verified,21.09,0,2001,5,44,18,476029,121076,0,0,13,6,0,0,small_business,individual,40000,60,13.59,922.25,C,C2,Jan-2018,Current,whole,Cash,37600.0,No Delinquencies,True,0
87,credit analyst,2.0,IL,MORTGAGE,49500.0,Source Verified,34.86,0,2006,1,35,14,241110,159851,0,0,7,5,0,0,credit_card,individual,15000,60,15.04,357.17,C,C4,Mar-2018,Current,whole,Cash,14486.1,No Delinquencies,True,0
88,rca,5.0,TX,OWN,32000.0,Source Verified,13.77,0,2004,1,21,15,37596,18294,0,1176,8,6,0,0,home_improvement,individual,5000,36,12.61,167.54,C,C1,Mar-2018,Current,whole,Cash,4651.37,No Delinquencies,True,0
89,cabinet maker/installer,8.0,FL,RENT,78000.0,Source Verified,9.61,0,1996,3,21,15,48354,40982,0,1358,7,6,0,1,credit_card,individual,7000,36,7.96,219.23,A,A5,Mar-2018,Current,whole,DirectPay,6478.16,No Delinquencies,True,0
90,benefits representative,2.0,AZ,RENT,52000.0,Source Verified,24.39,0,2004,4,23,9,86360,47451,0,8003,5,1,0,0,debt_consolidation,individual,17450,60,13.58,402.25,C,C2,Mar-2018,Current,whole,Cash,16828.69,No Delinquencies,True,0
95,territory manager,3.0,TX,MORTGAGE,190000.0,Not Verified,15.84,0,2000,0,15,10,619105,84019,0,0,6,5,0,0,debt_consolidation,individual,12000,36,6.08,365.5,A,A2,Jan-2018,Current,whole,Cash,10771.9,No Delinquencies,True,0
96,sr engineer,10.0,CO,RENT,126000.0,Source Verified,3.82,0,2003,0,9,3,49529,7020,0,0,2,1,0,0,debt_consolidation,individual,16500,36,5.32,496.9,A,A1,Feb-2018,Current,whole,Cash,14793.69,No Delinquencies,True,0
97,office manager,10.0,MA,MORTGAGE,95000.0,Not Verified,15.48,0,2010,2,18,13,277964,47779,0,0,9,7,0,1,debt_consolidation,individual,19200,36,5.32,578.21,A,A1,Feb-2018,Current,whole,DirectPay,17214.48,No Delinquencies,True,0
98,petroleum operator ,10.0,NJ,MORTGAGE,80000.0,Source Verified,14.16,0,2009,2,19,11,285387,22788,0,0,8,6,0,0,major_purchase,individual,7050,36,9.93,227.26,B,B2,Jan-2018,Current,whole,Cash,6191.3,No Delinquencies,True,0
99,owner,10.0,MN,MORTGAGE,23000.0,Verified,49.58,0,1994,2,31,11,44927,29553,0,0,10,7,0,1,credit_card,joint,15000,60,20.0,397.41,D,D4,Feb-2018,Current,whole,Cash,14395.45,No Delinquencies,True,0
100,project manager,10.0,NY,OWN,66000.0,Not Verified,13.27,0,1990,0,11,7,65475,60327,0,0,6,5,0,0,debt_consolidation,joint,11200,36,15.05,388.53,C,C4,Feb-2018,Current,whole,Cash,10188.92,No Delinquencies,True,0
102,audit manager,0.0,TX,MORTGAGE,101000.0,Source Verified,18.5,1,2005,2,41,15,343573,39168,0,0,10,5,0,0,debt_consolidation,individual,20000,60,26.77,607.97,E,E5,Mar-2018,Current,whole,Cash,19503.68,Has Delinquencies,True,0
105,line cook,1.0,SC,RENT,28000.0,Source Verified,26.96,0,2011,0,11,10,28300,13329,0,0,9,8,0,0,debt_consolidation,individual,12000,36,15.04,416.22,C,C4,Mar-2018,Current,fractional,Cash,11192.5,No Delinquencies,True,0
106,supervisor of technical trades,2.0,NY,MORTGAGE,75000.0,Not Verified,21.63,0,2004,2,27,17,213035,79897,0,0,14,7,0,0,credit_card,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,whole,DirectPay,18452.04,No Delinquencies,True,0
108,owner,2.0,TX,RENT,60000.0,Source Verified,18.36,0,2011,2,15,5,36564,20307,0,110,2,2,0,0,small_business,individual,6000,36,13.59,203.88,C,C2,Jan-2018,Current,fractional,Cash,5304.78,No Delinquencies,True,0
109,bus operator ,10.0,TX,RENT,47000.0,Not Verified,18.92,0,2004,0,22,8,24823,11443,0,0,5,3,0,0,debt_consolidation,individual,5000,36,7.97,156.62,A,A5,Feb-2018,Current,whole,Cash,4501.41,No Delinquencies,True,0
110,web developer,2.0,FL,RENT,58000.0,Source Verified,14.66,0,2014,2,15,9,101890,43411,0,0,6,3,0,0,debt_consolidation,individual,16000,60,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,No Delinquencies,True,0
111,educator,10.0,AL,MORTGAGE,55000.0,Source Verified,29.58,0,1996,0,30,14,245213,27408,0,0,7,6,0,0,debt_consolidation,individual,15600,36,6.08,475.15,A,A2,Jan-2018,Current,whole,Cash,13599.28,No Delinquencies,True,0
112,manager,6.0,WY,RENT,31812.0,Not Verified,37.83,0,2000,0,16,8,58700,38487,0,0,7,6,0,0,debt_consolidation,individual,10000,60,21.85,275.34,D,D5,Feb-2018,Current,whole,Cash,9715.1,No Delinquencies,True,0
113,construction manager ,5.0,CA,RENT,95000.0,Source Verified,13.49,1,1999,2,18,9,66559,47029,0,826,7,6,0,0,moving,individual,10000,36,10.42,324.65,B,B3,Feb-2018,Current,whole,Cash,9036.27,Has Delinquencies,True,0
114,education specialist,0.0,PA,MORTGAGE,65000.0,Source Verified,29.36,7,2000,0,14,12,86480,66933,0,0,3,3,0,0,debt_consolidation,individual,30000,36,17.47,1076.62,D,D1,Mar-2018,Current,whole,Cash,28052.31,Has Delinquencies,True,0
115,ceo,4.0,CA,RENT,250000.0,Source Verified,1.12,0,2000,0,12,9,27800,5459,0,0,8,6,0,0,debt_consolidation,individual,30000,36,10.9,980.75,B,B4,Mar-2018,Current,whole,Cash,28577.07,No Delinquencies,True,0
116,account administrator,10.0,CO,MORTGAGE,55200.0,Not Verified,18.67,0,2000,0,25,12,206967,57403,0,0,4,3,0,0,credit_card,individual,16000,36,6.08,487.34,A,A2,Jan-2018,Current,whole,Cash,13947.94,No Delinquencies,True,0
117,driver,10.0,NY,RENT,42000.0,Not Verified,25.23,1,1999,1,23,9,55732,29882,0,0,7,2,0,0,credit_card,individual,20000,36,12.61,670.13,C,C1,Mar-2018,Current,whole,Cash,18605.56,Has Delinquencies,True,0
118,manager,6.0,MO,MORTGAGE,30784.0,Verified,27.56,0,1990,2,20,7,130301,9913,0,0,4,4,0,0,debt_consolidation,joint,6275,36,23.87,245.76,E,E2,Feb-2018,Current,fractional,Cash,5776.61,No Delinquencies,True,0
120,school administrator,10.0,MO,MORTGAGE,120000.0,Source Verified,21.45,0,1999,0,34,10,179741,165182,0,0,8,6,0,0,debt_consolidation,individual,16000,60,13.59,368.9,C,C2,Jan-2018,Current,whole,Cash,15040.0,No Delinquencies,True,0
121,qc lead,4.0,CA,MORTGAGE,63000.0,Source Verified,15.3,0,2002,3,22,11,33048,20366,0,0,9,8,0,1,debt_consolidation,individual,10000,36,16.02,351.67,C,C5,Feb-2018,In Grace Period,whole,Cash,9336.71,No Delinquencies,True,0
122,planning supervisor ,10.0,NY,MORTGAGE,155000.0,Verified,16.13,0,2005,2,33,12,294645,96202,0,0,4,2,0,0,major_purchase,individual,25000,36,9.93,805.86,B,B2,Feb-2018,Current,whole,Cash,22574.16,No Delinquencies,True,0
123,pipefitter,1.0,MA,RENT,40000.0,Source Verified,2.91,0,2014,2,6,4,15800,2523,0,0,4,3,0,0,car,individual,12000,36,9.92,386.76,B,B2,Mar-2018,Current,whole,Cash,11130.17,No Delinquencies,True,0
124,owner,3.0,TN,RENT,42500.0,Not Verified,18.55,0,2010,1,7,6,41886,27474,0,0,3,3,0,0,credit_card,individual,6000,36,7.35,186.23,A,A4,Jan-2018,Current,whole,Cash,5243.39,No Delinquencies,True,0
125,senior engagement lead,10.0,NJ,OWN,230000.0,Source Verified,9.19,0,1998,2,20,8,441037,53298,0,0,4,3,0,0,debt_consolidation,individual,12000,36,10.91,392.36,B,B4,Feb-2018,Current,whole,Cash,10851.41,No Delinquencies,True,0
126,attorney,4.0,LA,MORTGAGE,75000.0,Source Verified,8.46,0,2008,1,24,18,293947,164954,0,0,2,2,0,0,house,individual,10000,60,13.59,230.57,C,C2,Feb-2018,Current,whole,Cash,9522.69,No Delinquencies,True,0
127,bank teller,0.0,OH,MORTGAGE,24000.0,Source Verified,9.8,0,2000,0,7,6,15100,5929,0,0,6,4,0,1,debt_consolidation,joint,20000,36,14.07,684.24,C,C3,Mar-2018,Current,whole,Cash,18634.9,No Delinquencies,True,0
129,automotive service lane manager,10.0,WV,OWN,172000.0,Verified,24.31,0,2003,1,32,17,764559,110739,0,0,11,8,0,0,home_improvement,individual,36000,60,15.05,857.39,C,C4,Feb-2018,Current,whole,Cash,34345.64,No Delinquencies,True,0
130,military officer captain,10.0,GA,RENT,145000.0,Verified,14.66,0,2003,0,29,11,206996,61746,0,0,5,4,0,0,debt_consolidation,joint,40000,36,6.72,1229.97,A,A3,Feb-2018,Current,whole,Cash,35942.19,No Delinquencies,True,0
131,cpa,4.0,CA,MORTGAGE,85000.0,Source Verified,22.73,0,1989,1,16,9,428429,69424,0,0,4,3,0,0,debt_consolidation,individual,9000,36,16.01,316.46,C,C5,Mar-2018,Current,whole,Cash,8402.95,No Delinquencies,True,0
132,home equity specialist ,10.0,PA,RENT,42000.0,Not Verified,9.91,0,1996,0,21,10,50600,11048,0,0,10,7,0,0,debt_consolidation,individual,7200,36,7.34,223.44,A,A4,Mar-2018,Current,whole,Cash,6840.1,No Delinquencies,True,0
133,general manager,3.0,WI,RENT,36000.0,Not Verified,29.47,0,2004,4,11,5,46680,44111,0,0,3,2,0,1,debt_consolidation,individual,6100,36,23.88,238.94,E,E2,Feb-2018,Current,fractional,Cash,5615.58,No Delinquencies,True,0
134,manager,6.0,TX,OWN,17000.0,Not Verified,27.68,0,2002,1,17,12,96126,62706,0,0,4,1,0,0,other,joint,2250,36,15.05,78.06,C,C4,Jan-2018,Current,whole,Cash,1927.12,No Delinquencies,True,0
135,accounting supervisor,10.0,IN,OWN,37000.0,Not Verified,4.25,0,2005,0,12,7,19900,4154,0,0,7,2,0,0,debt_consolidation,individual,10000,36,6.72,307.5,A,A3,Feb-2018,Current,whole,Cash,8985.52,No Delinquencies,True,0
136,video management,1.0,CA,OWN,45000.0,Source Verified,16.97,0,2014,3,11,8,56393,20877,0,0,6,6,0,0,debt_consolidation,individual,25000,36,21.45,947.67,D,D5,Feb-2018,Current,fractional,Cash,22942.47,No Delinquencies,True,0
